Game_id,Date,Day_of_week,Game_type,Home_team,Away_team,City,Attendance,Caitlin_played,Caitlin_points_lag3,Caitlin_minutes_lag3,Caitlin_3pts_made_lag3,stadium_norm,stadium_mean_prior,stadium_rolling_k_mean_prior,stadium_prev_game_attendance,stadium_prior_games_count,stadium_mean_prior_filled
14,2022-05-24,Tuesday,Regular season,Dallas Wings,Washington Mystics,Arlington,3035,0,,,,arlington,,,,0,5139.049382716049
24,2022-06-03,Saturday,Regular season,Dallas Wings,Minnesota Lynx,Arlington,3813,0,,,,arlington,3035.0,3035.0,3035.0,1,3035.0
64,2022-07-13,Friday,Regular season,Dallas Wings,Seattle Storm,Arlington,3292,0,,,,arlington,3424.0,3424.0,3813.0,2,3424.0
69,2022-07-18,Sunday,Regular season,Dallas Wings,Seattle Storm,Arlington,3273,0,,,,arlington,3380.0,3380.0,3292.0,3,3380.0
74,2022-07-23,Wednesday,Regular season,Dallas Wings,Las Vegas Aces,Arlington,4375,0,,,,arlington,3353.25,3353.25,3273.0,4,3353.25
79,2022-07-28,Friday,Regular season,Dallas Wings,Phoenix Mercury,Arlington,3140,0,,,,arlington,3557.6,3557.6,4375.0,5,3557.6
84,2022-08-02,Sunday,Regular season,Dallas Wings,Los Angeles Sparks,Arlington,3779,0,,,,arlington,3488.0,3578.6,3140.0,6,3488.0
91,2022-08-09,Thursday,Regular season,Dallas Wings,Indiana Fever,Arlington,2791,0,,,,arlington,3529.5714285714284,3571.8,3779.0,7,3529.5714285714284
96,2022-08-14,Saturday,Regular season,Dallas Wings,Phoenix Mercury,Arlington,4240,0,,,,arlington,3437.25,3471.6,2791.0,8,3437.25
109,2022-08-27,Friday,Regular season,Dallas Wings,Los Angeles Sparks,Arlington,3187,0,,,,arlington,3526.4444444444443,3665.0,4240.0,9,3526.4444444444443
119,2022-09-06,Tuesday,Regular season,Dallas Wings,Connecticut Sun,Arlington,3445,0,,,,arlington,3492.5,3427.4,3187.0,10,3492.5
138,2022-09-25,Saturday,Regular season,Dallas Wings,Chicago Sky,Arlington,5126,0,,,,arlington,3488.181818181818,3488.4,3445.0,11,3488.181818181818
160,2022-10-17,Thursday,Regular season,Dallas Wings,Washington Mystics,Arlington,4382,0,,,,arlington,3624.6666666666665,3757.8,5126.0,12,3624.6666666666665
179,2022-11-05,Thursday,Regular season,Dallas Wings,Las Vegas Aces,Arlington,3492,0,,,,arlington,3682.923076923077,4076.0,4382.0,13,3682.923076923077
182,2022-11-08,Saturday,Regular season,Dallas Wings,Indiana Fever,Arlington,4184,0,,,,arlington,3669.285714285714,3926.4,3492.0,14,3669.285714285714
188,2022-11-14,Monday,Regular season,Dallas Wings,New York Liberty,Arlington,3036,0,,,,arlington,3703.6,4125.8,4184.0,15,3703.6
192,2022-11-18,Wednesday,Regular season,Dallas Wings,New York Liberty,Arlington,3795,0,,,,arlington,3661.875,4044.0,3036.0,16,3661.875
216,2022-12-12,Wednesday,First Round,Dallas Wings,Connecticut Sun,Arlington,5016,0,,,,arlington,3669.705882352941,3777.8,3795.0,17,3669.705882352941
235,2022-12-31,Saturday,Regular season,Dallas Wings,Atlanta Dream,Arlington,5588,0,,,,arlington,3744.5,3904.6,5016.0,18,3744.5
252,2023-01-17,Tuesday,Regular season,Dallas Wings,Minnesota Lynx,Arlington,3484,0,,,,arlington,3841.5263157894738,4323.8,5588.0,19,3841.5263157894738
267,2023-06-07,Wednesday,Regular season,Dallas Wings,Phoenix Mercury,Arlington,4242,0,,,,arlington,3823.65,4183.8,3484.0,20,3823.65
270,2023-06-09,Friday,Regular season,Dallas Wings,Phoenix Mercury,Arlington,6251,0,,,,arlington,3843.5714285714284,4425.0,4242.0,21,3843.5714285714284
283,2023-06-14,Wednesday,Regular season,Dallas Wings,Los Angeles Sparks,Arlington,5807,0,,,,arlington,3953.0,4916.2,6251.0,22,3953.0
289,2023-06-17,Saturday,Regular season,Dallas Wings,Seattle Storm,Arlington,5020,0,,,,arlington,4033.608695652174,5074.4,5807.0,23,4033.608695652174
295,2023-06-20,Tuesday,Regular season,Dallas Wings,Atlanta Dream,Arlington,3392,0,,,,arlington,4074.7083333333335,4960.8,5020.0,24,4074.7083333333335
324,2023-07-02,Sunday,Regular season,Dallas Wings,Washington Mystics,Arlington,4544,0,,,,arlington,4047.4,4942.4,3392.0,25,4047.4
333,2023-07-07,Friday,Regular season,Dallas Wings,Las Vegas Aces,Arlington,6251,0,,,,arlington,4066.5,5002.8,4544.0,26,4066.5
359,2023-07-22,Saturday,Regular season,Dallas Wings,Los Angeles Sparks,Arlington,5041,0,,,,arlington,4147.407407407408,5002.8,6251.0,27,4147.407407407408
366,2023-07-25,Tuesday,Regular season,Dallas Wings,Connecticut Sun,Arlington,4222,0,,,,arlington,4179.321428571428,4849.6,5041.0,28,4179.321428571428
372,2023-07-28,Friday,Regular season,Dallas Wings,Washington Mystics,Arlington,4048,0,,,,arlington,4180.793103448276,4690.0,4222.0,29,4180.793103448276
387,2023-08-04,Friday,Regular season,Dallas Wings,Chicago Sky,Arlington,3762,0,,,,arlington,4176.366666666667,4821.2,4048.0,30,4176.366666666667
393,2023-08-06,Sunday,Regular season,Dallas Wings,Chicago Sky,Arlington,4057,0,,,,arlington,4163.0,4664.8,3762.0,31,4163.0
397,2023-08-08,Tuesday,Regular season,Dallas Wings,Las Vegas Aces,Arlington,5193,0,,,,arlington,4159.6875,4226.0,4057.0,32,4159.6875
405,2023-08-12,Saturday,Regular season,Dallas Wings,Connecticut Sun,Arlington,4179,0,,,,arlington,4191.0,4256.4,5193.0,33,4191.0
429,2023-08-24,Thursday,Regular season,Dallas Wings,Minnesota Lynx,Arlington,3931,0,,,,arlington,4190.64705882353,4247.8,4179.0,34,4190.64705882353
449,2023-09-03,Sunday,Regular season,Dallas Wings,Indiana Fever,Arlington,5058,0,,,,arlington,4183.228571428572,4224.4,3931.0,35,4183.228571428572
454,2023-09-05,Tuesday,Regular season,Dallas Wings,New York Liberty,Arlington,4195,0,,,,arlington,4207.527777777777,4483.6,5058.0,36,4207.527777777777
461,2023-09-08,Friday,Regular season,Dallas Wings,Seattle Storm,Arlington,4546,0,,,,arlington,4207.189189189189,4511.2,4195.0,37,4207.189189189189
474,2023-09-15,Friday,First Round,Dallas Wings,Atlanta Dream,Arlington,5053,0,,,,arlington,4216.105263157895,4381.8,4546.0,38,4216.105263157895
478,2023-09-19,Tuesday,First Round,Dallas Wings,Atlanta Dream,Arlington,4798,0,,,,arlington,4237.5641025641025,4556.6,5053.0,39,4237.5641025641025
482,2023-09-29,Friday,Semifinals,Dallas Wings,Las Vegas Aces,Arlington,6251,0,,,,arlington,4251.575,4730.0,4798.0,40,4251.575
495,2024-05-15,Wednesday,Regular season,Dallas Wings,Chicago Sky,Arlington,6251,0,,,,arlington,4300.341463414634,4968.6,6251.0,41,4300.341463414634
502,2024-05-18,Saturday,Regular season,Dallas Wings,Chicago Sky,Arlington,6251,0,,,,arlington,4346.785714285715,5379.8,6251.0,42,4346.785714285715
542,2024-06-05,Wednesday,Regular season,Dallas Wings,Las Vegas Aces,Arlington,6251,0,,,,arlington,4391.069767441861,5720.8,6251.0,43,4391.069767441861
